,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist
1952,Kepler-139 b,1290,8.96 Earths,12.677,2014,Kepler-1271 b,Kepler-1271,1,1.0,Transit,2016.0,Kepler,0.0,3.0255955,1.16e-05,-1.16e-05,0.0,0.0418,,,0.0,1.48,0.23,-0.16,0.0,0.132,0.021,-0.014,0.0,2.79,,,0,0.00879,,,0.0,M-R relationship,0.0,,,0.0,975.18,49.17,-46.5,0.0,1484,,,0.0,0,,6143.0,81.37,-88.49,0.0,1.23,0.18,-0.13,0.0,1.13,0.06,-0.06,0,-0.01,0.08,-0.094,0.0,[Fe/H],4.31,0.09,-0.1,0.0,19h05m22.63s,286.3442954,+37d24m42.96s,37.4119347,831.991
1953,Kepler-139 c,1290,11.4 Earths,12.677,2014,Kepler-1272 b,Kepler-1272,1,1.0,Transit,2016.0,Kepler,0.0,51.1309704,0.0004514,-0.0004514,0.0,0.2705,,,0.0,2.37,0.7,-0.32,0.0,0.211,0.062,-0.029,0.0,6.21,,,0,0.0195,,,0.0,M-R relationship,0.0,,,0.0,34.43,2.26,-2.1,0.0,542,,,0.0,0,,5926.0,95.26,-135.18,0.0,1.09,0.27,-0.11,0.0,1.06,0.08,-0.07,0,0.06,0.142,-0.16,0.0,[Fe/H],4.39,0.08,-0.17,0.0,19h00m52.74s,285.2197605,+38d48m21.02s,38.8058393,1206.37
1954,Kepler-1400 b,2867,3.26 Earths,15.713,2016,Kepler-1273 b,Kepler-1273,1,1.0,Transit,2016.0,Kepler,0.0,28.625653,0.0002174,-0.0002174,0.0,0.1857,,,0.0,2.49,0.33,-0.19,0.0,0.222,0.029,-0.017,0.0,6.76,,,0,0.0213,,,0.0,M-R relationship,0.0,,,0.0,14.88,1.58,-1.4,0.0,573,,,0.0,0,,5566.0,77.45,-71.25,0.0,0.91,0.12,-0.06,0.0,0.94,0.04,-0.05,0,0.03,0.132,-0.157,0.0,[Fe/H],4.5,0.05,-0.12,0.0,19h03m12.77s,285.8032016,+44d52m24.23s,44.8733983,1114.24
1955,Kepler-1401 b,4051,3.46 Earths,14.972,2016,Kepler-1274 b,Kepler-1274,1,1.0,Transit,2016.0,Kepler,0.0,6.98152703,6.708e-05,-6.708e-05,0.0,0.0806,,,0.0,1.42,0.1,-0.1,0.0,0.127,0.009,-0.009,0.0,2.6,,,0,0.00819,,,0.0,M-R relationship,0.0,,,0.0,975.81,38.78,-37.18,0.0,1384,,,0.0,0,,6179.0,54.41,-48.15,0.0,2.17,0.13,-0.12,0.0,1.45,0.06,-0.05,0,0.11,0.084,-0.071,0.0,[Fe/H],3.93,0.04,-0.04,0.0,18h58m22.48s,284.5936858,+46d26m59.05s,46.4497364,614.648
1956,Kepler-1402 b,2221,0.363 Earths,14.608,2016,Kepler-1275 b,Kepler-1275,1,1.0,Transit,2016.0,Kepler,0.0,3.65691115,1.583e-05,-1.583e-05,0.0,0.0488,,,0.0,1.48,0.65,-0.27,0.0,0.132,0.058,-0.024,0.0,2.79,,,0,0.00879,,,0.0,M-R relationship,0.0,,,0.0,822.48,46.96,-44.02,0.0,1368,,,0.0,0,,6296.0,202.94,-214.87,0.0,1.36,0.6,-0.23,0.0,1.23,0.21,-0.13,0,0.04,0.131,-0.16,0.0,[Fe/H],4.26,0.12,-0.25,0.0,19h34m00.12s,293.5004955,+44d55m56.80s,44.9324455,1153.98
1957,Kepler-1403 b,5875,5.22 Earths,15.591,2016,Kepler-1276 b,Kepler-1276,1,1.0,Transit,2016.0,Kepler,0.0,12.5720095,0.0001098,-0.0001098,0.0,0.1072,,,0.0,1.19,0.2,-0.11,0.0,0.106,0.018,-0.01,0.0,1.81,,,0,0.0057,,,0.0,M-R relationship,0.0,,,0.0,139.77,4.46,-4.33,0.0,886,,,0.0,0,,6188.0,65.25,-55.24,0.0,1.21,0.14,-0.1,0.0,1.14,0.05,-0.05,0,-0.02,0.084,-0.096,0.0,[Fe/H],4.33,0.07,-0.09,0.0,19h11m25.68s,287.8570173,+40d32m49.89s,40.5471909,538.481
1958,Kepler-1404 b,3086,4.7 Earths,15.703,2016,Kepler-1277 b,Kepler-1277,1,1.0,Transit,2016.0,Kepler,0.0,40.8365012,0.0004586,-0.0004586,0.0,0.2237,,,0.0,1.6,0.29,-0.11,0.0,0.143,0.026,-0.01,0.0,3.19,,,0,0.01,,,0.0,M-R relationship,0.0,,,0.0,12.11,0.37,-0.35,0.0,496,,,0.0,0,,5578.0,82.21,-68.73,0.0,0.92,0.06,-0.05,0.0,0.94,0.04,-0.04,0,-0.01,0.105,-0.111,0.0,[Fe/H],4.49,0.05,-0.07,0.0,19h40m24.60s,295.1025166,+40d34m20.54s,40.5723736,557.193
1959,Kepler-1405 b,5236,14.9 Earths,15.818,2016,Kepler-1278 b,Kepler-1278,1,1.0,Transit,2016.0,Kepler,0.0,3.23941344,1.696e-05,-1.696e-05,0.0,0.0419,,,0.0,1.01,0.31,-0.12,0.0,0.09,0.028,-0.011,0.0,1.01,,,0,0.00317,,,0.0,M-R relationship,0.0,,,0.0,1314.67,55.74,-53.24,0.0,1213,,,0.0,0,,6074.0,112.24,-128.32,0.0,1.16,0.35,-0.13,0.0,1.11,0.11,-0.08,0,0.02,0.134,-0.161,0.0,[Fe/H],4.35,0.09,-0.19,0.0,18h51m49.66s,282.9569197,+42d49m32.01s,42.8255589,889.426
1960,Kepler-1406 b,1915,1.37 Earths,13.382,2016,Kepler-1279 b,Kepler-1279,1,1.0,Transit,2016.0,Kepler,0.0,23.4774101,0.0002445,-0.0002445,0.0,0.1633,,,0.0,1.75,0.88,-0.27,0.0,0.156,0.079,-0.024,0.0,3.71,,,0,0.0117,,,0.0,M-R relationship,0.0,,,0.0,190.85,10.13,-9.55,0.0,738,,,0.0,0,,6221.0,97.8,-110.44,0.0,1.33,0.62,-0.19,0.0,1.21,0.19,-0.1,0,0.06,0.134,-0.141,0.0,[Fe/H],4.26,0.12,-0.26,0.0,19h12m22.94s,288.0955917,+40d21m57.27s,40.365909,1494.22
1961,Kepler-1407 b,4159,5.69 Earths,14.892,2016,Kepler-128 b,Kepler-128,1,2.0,Transit,2013.0,Kepler,0.0,15.09,,,0.0,0.1231,,,0.0,1.43,0.09,-0.09,0.0,0.128,0.008,-0.008,0.0,0.77,0.48,-0.25,0,0.00242,0.00151,-0.00079,0.0,Mass,0.0,,,0.0,227.4,5.06,-4.96,0.0,968,,,0.0,1,,6136.0,33.4,-49.64,0.0,1.61,0.1,-0.07,0.0,1.09,0.08,-0.05,0,0.0,0.056,-0.09,0.0,[Fe/H],4.07,0.01,-0.01,0.0,18h49m58.14s,282.4922622,+43d58m48.88s,43.9802442,396.379
